Feature ID,Role,Description,Data Type
ID,ID,Patient ID,Int
diabetic,Target,0 = no diabetes 1 = prediabetes or diabetes,bool
highbp,Feature,0 = no high BP 1 = high BP,bool
highchol,Feature,0 = no high cholesterol 1 = high cholesterol,bool
cholcheck,Feature,0 = no cholesterol check in 5 years 1 = yes cholesterol check in 5 years,bool
bmi,Feature,Body Mass Index,Int
smoker,Feature,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes] 0 = no 1 = yes,bool
stroke,Feature,(Ever told) you had a stroke. 0 = no 1 = yes,bool
heart_disease,Feature,coronary heart disease (CHD) or myocardial infarction (MI) 0 = no 1 = yes,bool
phys_activity,Feature,physical activity in past 30 days - not including job 0 = no 1 = yes,bool
fruits,Feature,Consume Fruit 1 or more times per day 0 = no 1 = yes,bool
veggies,Feature,Consume Vegetables 1 or more times per day 0 = no 1 = yes,bool
heavy_alch,Feature,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) 0 = no 1 = yes,bool
health_coverage,Feature,"Have any kind of health care coverage, including health insurance, prepaid plans such as HMO, etc. 0 = no 1 = yes",bool
no_doc_money,Feature,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost? 0 = no 1 = yes,bool
gen_heatlh,Feature,Would you say that in general your health is: scale 1-5 1 = excellent 2 = very good 3 = good 4 = fair 5 = poor,Int
ment_health,Feature,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good? scale 1-30 days",Int
phys_heatlh,Feature,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good? scale 1-30 days",Int
diff_walk,Feature,Do you have serious difficulty walking or climbing stairs? 0 = no 1 = yes,bool
sex,Feature,0 = female 1 = male,bool
age,Feature,13-level age category in roughly 6-8 year increments,Int
education,Feature,A six level scale of educational years completed from none to college graduate,Int
Income,Feature,"Income scale (INCOME2 see codebook) scale 1-8 1 = less than $10,000 5 = less than $35,000 8 = $75,000 or more",Int
